metric,value,expected,status
task_id,05AG,05AG,PASS
status,PASS,PASS,PASS
dry_run_rows,720,720,PASS
evidence_state_rows,240,240,PASS
evidence_label_rows,240,240,PASS
parser_rule_rows,17,17,PASS
execution_plan_rows,720,720,PASS
execution_batch_rows,12,12,PASS
batch_request_total,720,720,PASS
model_calls,0,0,PASS
api_calls,0,0,PASS
raw_prompt_instances_written,False,False,PASS
raw_responses_written,False,False,PASS
jsonl_written,False,False,PASS
model_execution_enabled,False,False,PASS
hard_stop_without_future_approval,True,True,PASS
stage_rows_decision,240,240,PASS
stage_rows_audit,240,240,PASS
stage_rows_escalation,240,240,PASS
