metric,value
script_version,pilot_05_cfpb_complaints_dataset_audit_v1
created_at_utc,2026-07-07T18:26:19+00:00
source_route,CFPB Consumer Complaint Database official browser-export CSV; product=Credit card or prepaid card; date_received=2026-01-01..2026-03-31; Task 05P strict row-quality gate; Task 05Q CFPB datetime accepted; Task 05R deterministic csv.excel parsing
input_filename_only,cfpb_complaints_2026_q1_credit_card_browser_export_raw.csv
input_suffix,.csv
source_inside_zip,
input_path_is_under_data_raw_cfpb_complaints,True
allow_external_local_path,False
input_sha256,not_computed
row_count_audited,26823
column_count,16
target_column_detected,Timely response?
narrative_column_detected,Consumer complaint narrative
max_rows,0
real_api_calls,0
model_calls,0
dataset_downloads,0
raw_response_inspection,False
raw_data_committed,False
raw_rows_written_to_reports,False
raw_narratives_written_to_reports,False
claim_boundary,recorded complaint-resolution outcome review simulation only
