category,check,observed,expected,status,notes
config,status,PASS,PASS,PASS,
config,approval_status,CONFIGURED_NOT_EXECUTION_APPROVED,CONFIGURED_NOT_EXECUTION_APPROVED,PASS,
config,model_provider,Z.ai,Z.ai,PASS,
config,model_display_name,GLM-5.2,GLM-5.2,PASS,
config,api_model_name,glm-5.2,glm-5.2,PASS,
config,max_future_real_llm_calls,36,36,PASS,
config,max_cost_permission_gbp,3.49,3.49,PASS,
approval,approval_phrase_present,True,True,PASS,
approval,approval_phrase_contains_task,True,True,PASS,
approval,approval_phrase_contains_model,True,True,PASS,
approval,approval_phrase_contains_36,True,True,PASS,
approval,approval_phrase_contains_3.49,True,True,PASS,
approval,approval_phrase_contains_sanitized,True,True,PASS,
inputs,abstract_call_plan_rows,36,36,PASS,
inputs,harness_execution_plan_rows,720,720,PASS,
inputs,parser_rule_rows,17,17,PASS,
inputs,evidence_rows,240,240,PASS,
inputs,prompt_templates_loaded,True,True,PASS,
inputs,response_schema_loaded,True,True,PASS,
runner_gate,build_mode_reads_api_key,False,False,PASS,
runner_gate,build_mode_model_calls,0,0,PASS,
runner_gate,build_mode_api_calls,0,0,PASS,
runner_gate,raw_prompt_storage,FORBIDDEN,FORBIDDEN,PASS,
runner_gate,raw_response_storage,FORBIDDEN,FORBIDDEN,PASS,
runner_gate,jsonl_storage,FORBIDDEN,FORBIDDEN,PASS,
runner_gate,future_exact_approval_required,True,True,PASS,
