metric,stage,degraded_condition,paired_cases,mean_paired_delta_degraded_minus_clean,bootstrap_n,ci_95_low,ci_95_high,random_seed
parser_valid,decision,compressed_lossy,59,0.338983,2000,0.169492,0.491525,5205
parser_valid,decision,partial_dropout,59,0.067797,2000,-0.118644,0.271186,5205
parser_valid,decision,noisy_conflicting,57,0.298246,2000,0.087719,0.491228,5205
parser_valid,audit,compressed_lossy,58,0.275862,2000,0.086207,0.465517,5205
parser_valid,audit,partial_dropout,58,0.155172,2000,-0.034483,0.328017,5205
parser_valid,audit,noisy_conflicting,57,0.368421,2000,0.210526,0.526316,5205
parser_valid,escalation,compressed_lossy,60,0.300000,2000,0.133333,0.466667,5205
parser_valid,escalation,partial_dropout,60,0.116667,2000,-0.066667,0.300000,5205
parser_valid,escalation,noisy_conflicting,59,0.220339,2000,0.033898,0.406780,5205
stage_success,decision,compressed_lossy,59,-0.508475,2000,-0.644068,-0.372881,5205
stage_success,decision,partial_dropout,59,-0.508475,2000,-0.644068,-0.372881,5205
stage_success,decision,noisy_conflicting,57,-0.491228,2000,-0.614035,-0.368421,5205
stage_success,audit,compressed_lossy,58,-0.517241,2000,-0.637931,-0.396121,5205
stage_success,audit,partial_dropout,58,-0.517241,2000,-0.637931,-0.396121,5205
stage_success,audit,noisy_conflicting,57,-0.508772,2000,-0.631579,-0.385965,5205
stage_success,escalation,compressed_lossy,60,-0.416667,2000,-0.533333,-0.300000,5205
stage_success,escalation,partial_dropout,60,-0.416667,2000,-0.533333,-0.300000,5205
stage_success,escalation,noisy_conflicting,59,-0.406780,2000,-0.542373,-0.288136,5205
evidence_state_adequate,decision,compressed_lossy,59,-0.508475,2000,-0.644068,-0.372881,5205
evidence_state_adequate,decision,partial_dropout,59,-0.508475,2000,-0.644068,-0.372881,5205
evidence_state_adequate,decision,noisy_conflicting,57,-0.473684,2000,-0.596491,-0.350877,5205
evidence_state_adequate,audit,compressed_lossy,58,-0.517241,2000,-0.637931,-0.396121,5205
evidence_state_adequate,audit,partial_dropout,58,-0.517241,2000,-0.637931,-0.396121,5205
evidence_state_adequate,audit,noisy_conflicting,57,-0.508772,2000,-0.631579,-0.385965,5205
evidence_state_adequate,escalation,compressed_lossy,60,-0.416667,2000,-0.533333,-0.300000,5205
evidence_state_adequate,escalation,partial_dropout,60,-0.416667,2000,-0.533333,-0.300000,5205
evidence_state_adequate,escalation,noisy_conflicting,59,-0.406780,2000,-0.542373,-0.288136,5205
