evidence_condition,cascade_sequence_pattern,n_sequences,condition_total_sequences,rate_within_condition
clean,P000_S000,18,60,0.300000
clean,P001_S001,2,60,0.033333
clean,P010_S010,5,60,0.083333
clean,P011_S011,3,60,0.050000
clean,P100_S100,5,60,0.083333
clean,P101_S101,2,60,0.033333
clean,P110_S110,5,60,0.083333
clean,P111_S111,17,60,0.283333
clean,missing_stage_audit,2,60,0.033333
clean,missing_stage_decision,1,60,0.016667
compressed_lossy,P001_S000,2,60,0.033333
compressed_lossy,P010_S000,2,60,0.033333
compressed_lossy,P011_S000,5,60,0.083333
compressed_lossy,P100_S000,5,60,0.083333
compressed_lossy,P101_S000,5,60,0.083333
compressed_lossy,P110_S000,10,60,0.166667
compressed_lossy,P111_S000,31,60,0.516667
noisy_conflicting,P000_S000,1,60,0.016667
noisy_conflicting,P001_S000,1,60,0.016667
noisy_conflicting,P010_S000,6,60,0.100000
noisy_conflicting,P011_S000,4,60,0.066667
noisy_conflicting,P100_S000,2,60,0.033333
noisy_conflicting,P101_S000,2,60,0.033333
noisy_conflicting,P110_S000,12,60,0.200000
noisy_conflicting,P111_S000,29,60,0.483333
noisy_conflicting,missing_stage_decision,1,60,0.016667
noisy_conflicting,missing_stage_decision_audit,1,60,0.016667
noisy_conflicting,missing_stage_escalation,1,60,0.016667
partial_dropout,P000_S000,4,60,0.066667
partial_dropout,P001_S000,5,60,0.083333
partial_dropout,P010_S000,7,60,0.116667
partial_dropout,P011_S000,9,60,0.150000
partial_dropout,P100_S000,6,60,0.100000
partial_dropout,P101_S000,4,60,0.066667
partial_dropout,P110_S000,11,60,0.183333
partial_dropout,P111_S000,14,60,0.233333
