metric,base_case_id,stage,clean_condition,degraded_condition,clean_value,degraded_value,paired_delta_degraded_minus_clean
parser_valid,P05_CFPB_PKT_000190,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_000219,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_000605,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_000987,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_001132,decision,clean,compressed_lossy,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_001611,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_003713,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_003910,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_004762,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_005172,decision,clean,compressed_lossy,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_005617,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_005746,decision,clean,compressed_lossy,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_007053,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_007427,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_007591,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_007645,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_010077,decision,clean,compressed_lossy,0.0,0.0,0.0
parser_valid,P05_CFPB_PKT_010205,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_010476,decision,clean,compressed_lossy,0.0,0.0,0.0
parser_valid,P05_CFPB_PKT_010545,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_010654,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_011720,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_012020,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_012731,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_012795,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_013198,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_013438,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_013584,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_013800,decision,clean,compressed_lossy,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_013912,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_014012,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_014886,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_015177,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_016329,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_016823,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_018093,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_018178,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_019824,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_020527,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_021433,decision,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_021535,decision,clean,compressed_lossy,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_022235,decision,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_022464,decision,clean,compressed_lossy,0.0,1.0,1.0
