field,value,n_rows
parser_valid,false,243
parser_valid,true,470
parser_error_category,<blank>,470
parser_error_category,json_parse_error,243
parser_contract_ack,<blank>,243
parser_contract_ack,true,470
evidence_state_adequate,<blank>,243
evidence_state_adequate,false,384
evidence_state_adequate,true,86
validity_judgment,<blank>,243
validity_judgment,invalid,22
validity_judgment,uncertain,363
validity_judgment,valid,85
decision_recommendation,<blank>,243
decision_recommendation,escalate,22
decision_recommendation,follow_up,133
decision_recommendation,insufficient_evidence,230
decision_recommendation,routine_review,85
audit_detected_degradation,<blank>,243
audit_detected_degradation,false,85
audit_detected_degradation,true,385
audit_false_assurance,<blank>,243
audit_false_assurance,false,461
audit_false_assurance,true,9
escalation_recovery,<blank>,243
escalation_recovery,loss,5
escalation_recovery,not_applicable,339
escalation_recovery,not_recovered,126
confidence_bucket,<blank>,243
confidence_bucket,high,76
confidence_bucket,low,381
confidence_bucket,medium,13
primary_failure_family,<blank>,243
primary_failure_family,conflict_unresolved,135
primary_failure_family,evidence_loss,250
primary_failure_family,none,85
