metric,value
planned_call_count,720
call_plan_rows,720
call_ledger_rows,720
sanitized_execution_rows,713
parser_invalid_summary_rows,243
ledger_parser_valid_true,470
ledger_parser_valid_false,250
persisted_parser_valid_true,470
persisted_parser_valid_false,243
ledger_only_missing_sanitized_rows,7
sanitized_not_in_ledger_rows,0
call_plan_not_in_ledger_rows,0
ledger_call_attempted_true,720
ledger_call_succeeded_true,713
ledger_call_succeeded_false,7
duplicate_call_plan_sequence_ids,0
duplicate_ledger_sequence_ids,0
duplicate_sanitized_sequence_ids,0
ledger_input_tokens,351480
ledger_output_tokens,404784
ledger_cost_sum_usd,2.2731216
execution_manifest_cumulative_estimated_cost_usd,2.2731216
