metric,evidence_condition,stage,available_rows,true_count,false_count,other_count,true_rate_among_available
evidence_state_adequate,clean,audit,30,30,0,0,1.0
evidence_state_adequate,clean,decision,30,30,0,0,1.0
evidence_state_adequate,clean,escalation,25,25,0,0,1.0
evidence_state_adequate,compressed_lossy,audit,48,0,48,0,0.0
evidence_state_adequate,compressed_lossy,decision,51,0,51,0,0.0
evidence_state_adequate,compressed_lossy,escalation,43,0,43,0,0.0
evidence_state_adequate,noisy_conflicting,audit,52,0,52,0,0.0
evidence_state_adequate,noisy_conflicting,decision,46,1,45,0,0.021739
evidence_state_adequate,noisy_conflicting,escalation,37,0,37,0,0.0
evidence_state_adequate,partial_dropout,audit,41,0,41,0,0.0
evidence_state_adequate,partial_dropout,decision,35,0,35,0,0.0
evidence_state_adequate,partial_dropout,escalation,32,0,32,0,0.0
parser_contract_ack,clean,audit,30,30,0,0,1.0
parser_contract_ack,clean,decision,30,30,0,0,1.0
parser_contract_ack,clean,escalation,25,25,0,0,1.0
parser_contract_ack,compressed_lossy,audit,48,48,0,0,1.0
parser_contract_ack,compressed_lossy,decision,51,51,0,0,1.0
parser_contract_ack,compressed_lossy,escalation,43,43,0,0,1.0
parser_contract_ack,noisy_conflicting,audit,52,52,0,0,1.0
parser_contract_ack,noisy_conflicting,decision,46,46,0,0,1.0
parser_contract_ack,noisy_conflicting,escalation,37,37,0,0,1.0
parser_contract_ack,partial_dropout,audit,41,41,0,0,1.0
parser_contract_ack,partial_dropout,decision,35,35,0,0,1.0
parser_contract_ack,partial_dropout,escalation,32,32,0,0,1.0
audit_detected_degradation,clean,audit,30,0,30,0,0.0
audit_detected_degradation,clean,decision,30,0,30,0,0.0
audit_detected_degradation,clean,escalation,25,0,25,0,0.0
audit_detected_degradation,compressed_lossy,audit,48,48,0,0,1.0
audit_detected_degradation,compressed_lossy,decision,51,51,0,0,1.0
audit_detected_degradation,compressed_lossy,escalation,43,43,0,0,1.0
audit_detected_degradation,noisy_conflicting,audit,52,52,0,0,1.0
audit_detected_degradation,noisy_conflicting,decision,46,46,0,0,1.0
audit_detected_degradation,noisy_conflicting,escalation,37,37,0,0,1.0
audit_detected_degradation,partial_dropout,audit,41,41,0,0,1.0
audit_detected_degradation,partial_dropout,decision,35,35,0,0,1.0
audit_detected_degradation,partial_dropout,escalation,32,32,0,0,1.0
audit_false_assurance,clean,audit,30,0,30,0,0.0
audit_false_assurance,clean,decision,30,0,30,0,0.0
audit_false_assurance,clean,escalation,25,0,25,0,0.0
audit_false_assurance,compressed_lossy,audit,48,3,45,0,0.0625
audit_false_assurance,compressed_lossy,decision,51,1,50,0,0.019608
audit_false_assurance,compressed_lossy,escalation,43,2,41,0,0.046512
audit_false_assurance,noisy_conflicting,audit,52,1,51,0,0.019231
audit_false_assurance,noisy_conflicting,decision,46,0,46,0,0.0
audit_false_assurance,noisy_conflicting,escalation,37,0,37,0,0.0
audit_false_assurance,partial_dropout,audit,41,2,39,0,0.04878
audit_false_assurance,partial_dropout,decision,35,0,35,0,0.0
audit_false_assurance,partial_dropout,escalation,32,0,32,0,0.0
escalation_recovery,clean,audit,30,0,0,30,0.0
escalation_recovery,clean,decision,30,0,0,30,0.0
escalation_recovery,clean,escalation,25,0,0,25,0.0
escalation_recovery,compressed_lossy,audit,48,0,0,48,0.0
escalation_recovery,compressed_lossy,decision,51,0,0,51,0.0
escalation_recovery,compressed_lossy,escalation,43,0,0,43,0.0
escalation_recovery,noisy_conflicting,audit,52,0,0,52,0.0
escalation_recovery,noisy_conflicting,decision,46,0,0,46,0.0
escalation_recovery,noisy_conflicting,escalation,37,0,0,37,0.0
escalation_recovery,partial_dropout,audit,41,0,0,41,0.0
escalation_recovery,partial_dropout,decision,35,0,0,35,0.0
escalation_recovery,partial_dropout,escalation,32,0,0,32,0.0
