display_order,evidence_condition,stage,metric,paired_cases,mean_delta_degraded_minus_clean,ci_95_low,ci_95_high,bootstrap_n,random_seed,authoritative_source
1,compressed_lossy,decision,parser_valid,59,0.338983,0.169492,0.491525,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
2,compressed_lossy,decision,stage_success,59,-0.508475,-0.644068,-0.372881,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
3,compressed_lossy,audit,parser_valid,58,0.275862,0.086207,0.465517,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
4,compressed_lossy,audit,stage_success,58,-0.517241,-0.637931,-0.396121,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
5,compressed_lossy,escalation,parser_valid,60,0.300000,0.133333,0.466667,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
6,compressed_lossy,escalation,stage_success,60,-0.416667,-0.533333,-0.300000,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
7,partial_dropout,decision,parser_valid,59,0.067797,-0.118644,0.271186,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
8,partial_dropout,decision,stage_success,59,-0.508475,-0.644068,-0.372881,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
9,partial_dropout,audit,parser_valid,58,0.155172,-0.034483,0.328017,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
10,partial_dropout,audit,stage_success,58,-0.517241,-0.637931,-0.396121,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
11,partial_dropout,escalation,parser_valid,60,0.116667,-0.066667,0.300000,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
12,partial_dropout,escalation,stage_success,60,-0.416667,-0.533333,-0.300000,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
13,noisy_conflicting,decision,parser_valid,57,0.298246,0.087719,0.491228,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
14,noisy_conflicting,decision,stage_success,57,-0.491228,-0.614035,-0.368421,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
15,noisy_conflicting,audit,parser_valid,57,0.368421,0.210526,0.526316,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
16,noisy_conflicting,audit,stage_success,57,-0.508772,-0.631579,-0.385965,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
17,noisy_conflicting,escalation,parser_valid,59,0.220339,0.033898,0.406780,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
18,noisy_conflicting,escalation,stage_success,59,-0.406780,-0.542373,-0.288136,2000,5205,reports/pilot_05_cfpb_glm52_scaled_metrics/pilot_05AP_bootstrap_confidence_intervals.csv
